"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-04-24",,"84",,"78"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-04-25",,"84",,"75"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-04-26",,"86",,"73"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-04-27",,"91",,"78"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-04-28",,"89",,"77"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-04-29",,"87",,"79"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-04-30",,"86",,"77"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-05-01",,"86",,"77"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-05-02",,"86",,"78"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-05-03",,"86",,"77"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-05-04",,"86",,"78"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-05-05",,"86",,"80"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-05-06",,"86",,"78"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-05-07",,"86",,"77"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-05-08",,"86",,"79"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-05-09",,"86",,"80"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-05-10",,"86",,"80"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-05-11",,"87",,"80"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-05-12",,"87",,"79"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-05-13",,"87",,"80"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-05-14",,"88",,"81"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-05-15",,"88",,"78"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-05-16",,"87",,"80"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-05-17",,"87","94","81"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-05-18",,"88",,"82"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-05-19",,"88",,"83"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-05-20",,"89",,"85"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-05-21",,"88",,"84"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-05-22",,"89",,"84"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-05-23","0.00","89",,"84"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-05-24",,"89",,"84"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-05-25",,"89",,"85"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-05-26","0.00","89",,"84"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-05-27",,"89",,"84"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-05-28",,"89",,"84"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-05-29",,"89",,"84"
